row_num,longitude,latitude,temp
13800,-85.30416667,30.5625,19.1875
13900,-85.07083333,30.70416667,19.1917
14000,-84.9375,30.5375,19.1917
14100,-85.82083333,30.67083333,19.1958
14200,-85.00416667,30.94583333,19.2
14300,-85.22083333,30.64583333,19.2
14400,-85.07916667,30.95416667,19.2042
14500,-85.75416667,30.65416667,19.2042
14600,-85.15416667,30.79583333,19.2083
14700,-85.2625,30.5875,19.2083
14800,-85.0625,30.75416667,19.2125
14900,-85.3125,30.55416667,19.2125
15000,-87.40416667,30.67083333,19.2167
15100,-85.69583333,30.52916667,19.2167
15200,-85.7375,30.65416667,19.2208
15300,-85.55416667,30.4625,19.2208
15400,-87.37083333,30.60416667,19.225
15500,-87.2875,30.77916667,19.2292
15600,-87.40416667,30.54583333,19.2292
15700,-87.12083333,30.67083333,19.2333
15800,-85.2375,30.49583333,19.2333
15900,-86.77916667,30.6375,19.2375
16000,-85.54583333,30.4625,19.2375
16100,-84.40416667,30.6375,19.2417
16200,-85.50416667,30.44583333,19.2417
16300,-85.20416667,30.5875,19.2458
16400,-85.27916667,30.69583333,19.25
16500,-84.67916667,30.52083333,19.25
16600,-86.27916667,30.64583333,19.2542
16700,-84.65416667,30.49583333,19.2542
16800,-85.77916667,30.60416667,19.2583
16900,-85.35416667,30.45416667,19.2583
17000,-85.87083333,30.60416667,19.2625
17100,-84.35416667,30.64583333,19.2667
17200,-85.5375,30.4625,19.2667
17300,-86.07083333,30.57916667,19.2708
17400,-84.22916667,30.67083333,19.275
17500,-85.22916667,30.50416667,19.275
17600,-86.70416667,30.60416667,19.2792
17700,-84.15416667,30.6625,19.2833
17800,-84.97916667,30.49583333,19.2833
17900,-86.69583333,30.60416667,19.2875
18000,-85.37916667,30.42916667,19.2875
18100,-86.8875,30.52916667,19.2917
18200,-85.1125,30.65416667,19.2958
18300,-84.47083333,30.49583333,19.2958
18400,-84.39583333,30.60416667,19.3
18500,-85.30416667,30.42916667,19.3
18600,-86.09583333,30.54583333,19.3042
18700,-84.07916667,30.67083333,19.3083
18800,-85.84583333,30.4875,19.3083
18900,-85.85416667,30.59583333,19.3125
19000,-85.77916667,30.42083333,19.3125
19100,-86.17916667,30.54583333,19.3167
19200,-87.27083333,30.67083333,19.3208
19300,-87.37083333,30.5125,19.3208
19400,-84.10416667,30.6125,19.325
19500,-84.87916667,30.45416667,19.325
19600,-85.8875,30.57916667,19.3292
19700,-83.9875,30.42083333,19.3292
19800,-86.9125,30.5625,19.3333
19900,-87.27916667,30.65416667,19.3375
20000,-85.9625,30.49583333,19.3375
20100,-85.0875,30.57916667,19.3417
20200,-85.22083333,30.42916667,19.3417
